n_alive,new_deaths,cum_deaths,meningitis.n_susceptible,meningitis.n_infected,meningitis.n_recovered,meningitis.n_exposed,meningitis.prevalence,meningitis.new_infections,meningitis.cum_infections,meningitis.rel_sus,meningitis.new_recoveries,meningitis.recovered,meningitis.exposed
2000.0,0.0,0.0,1977.0,2.0,0.0,21.0,0.001,3.0,3.0,0.999993063,0.0,0.0,21.0
2000.0,0.0,0.0,1959.0,8.0,1.0,32.0,0.004,6.0,9.0,0.999988665933,0.0,0.0,32.0
2000.0,0.0,0.0,1939.0,18.0,7.0,36.0,0.009,11.0,20.0,0.999979848939603,0.0,0.0,36.0
2000.0,0.0,0.0,1915.0,27.0,14.0,44.0,0.0135,8.0,28.0,0.9999701202991466,0.0,0.0,44.0
2000.0,0.0,0.0,1891.0,42.0,25.0,42.0,0.021,15.0,43.0,0.9999584972164542,0.0,0.0,42.0
2000.0,0.0,0.0,1846.0,46.0,37.0,71.0,0.023,4.0,47.0,0.9999469787415062,0.0,0.0,71.0
2000.0,0.0,0.0,1801.0,55.0,52.0,92.0,0.0275,9.0,56.0,0.9999251584328326,0.0,0.0,92.0
2000.0,0.0,0.0,1743.0,73.0,68.0,116.0,0.0365,18.0,74.0,0.9999035345069371,0.0,0.0,116.0
2000.0,0.0,0.0,1664.0,96.0,92.0,148.0,0.048,27.0,101.0,0.9998746726963748,0.0,0.0,148.0
2000.0,0.0,0.0,1575.0,127.0,128.0,170.0,0.0635,31.0,132.0,0.9998351696421073,0.0,0.0,170.0
2000.0,0.0,0.0,1475.0,161.0,156.0,208.0,0.0805,28.0,160.0,0.9997905716153285,0.0,782.0,208.0
2000.0,0.0,0.0,1409.0,196.0,204.0,191.0,0.098,38.0,198.0,0.6087655018693277,0.0,782.0,191.0
1998.0,2.0,0.0,1355.0,228.0,242.0,173.0,0.11411411411411411,32.0,230.0,0.6087304498525036,0.0,782.0,173.0
1998.0,0.0,2.0,1319.0,256.0,283.0,140.0,0.12812812812812813,27.0,257.0,0.608700172803831,0.0,782.0,140.0
1994.0,4.0,2.0,1289.0,272.0,313.0,120.0,0.13640922768304914,21.0,278.0,0.6086776007485966,0.0,782.0,120.0
1994.0,0.0,6.0,1264.0,292.0,324.0,114.0,0.1464393179538616,22.0,300.0,0.6086547363418592,0.0,782.0,114.0
1988.0,6.0,6.0,1247.0,304.0,320.0,117.0,0.1529175050301811,22.0,322.0,0.6086345552147825,0.0,782.0,117.0
1988.0,0.0,12.0,1231.0,316.0,317.0,124.0,0.158953722334004,13.0,335.0,0.6086125737178494,0.0,782.0,124.0
1985.0,3.0,12.0,1259.0,323.0,301.0,102.0,0.16272040302267002,22.0,357.0,0.6085883125543887,0.0,782.0,102.0
1984.0,1.0,15.0,1247.0,334.0,293.0,110.0,0.16834677419354838,18.0,375.0,0.6085731887413992,0.0,782.0,110.0
1982.0,2.0,16.0,1246.0,333.0,286.0,117.0,0.16801210898082744,15.0,390.0,0.6053986499847818,0.0,782.0,117.0
1982.0,0.0,18.0,1257.0,340.0,283.0,102.0,0.1715438950554995,17.0,407.0,0.6053757103204026,0.0,782.0,102.0
1981.0,1.0,18.0,1239.0,342.0,303.0,97.0,0.17264008076728926,19.0,426.0,0.6053604695525191,0.0,782.0,97.0
1981.0,0.0,19.0,1241.0,328.0,320.0,92.0,0.16557294295810196,16.0,442.0,0.6053413699838044,0.0,782.0,92.0
1980.0,1.0,19.0,1240.0,311.0,344.0,85.0,0.15707070707070708,18.0,460.0,0.6053244402950791,0.0,782.0,85.0
1979.0,1.0,20.0,1232.0,302.0,362.0,83.0,0.15260232440626578,20.0,480.0,0.605310659949359,0.0,782.0,83.0
1978.0,1.0,21.0,1255.0,286.0,355.0,82.0,0.14459049544994945,15.0,495.0,0.6052940066509438,0.0,782.0,82.0
1975.0,3.0,22.0,1256.0,269.0,363.0,87.0,0.1362025316455696,16.0,511.0,0.6052834971838272,0.0,782.0,87.0
1973.0,2.0,25.0,1269.0,259.0,359.0,86.0,0.13127217435377597,13.0,524.0,0.6052660893583663,0.0,782.0,86.0
1972.0,1.0,27.0,1284.0,254.0,361.0,73.0,0.12880324543610547,18.0,542.0,0.605255831146883,0.0,782.0,73.0
1972.0,0.0,28.0,1303.0,250.0,343.0,76.0,0.12677484787018256,18.0,560.0,0.6033527507196182,0.0,781.0,76.0
1970.0,2.0,28.0,1334.0,253.0,319.0,64.0,0.1284263959390863,17.0,577.0,0.6033390779915392,0.0,781.0,64.0
1969.0,1.0,30.0,1337.0,249.0,309.0,74.0,0.12646013204672424,15.0,592.0,0.6033285435309947,0.0,781.0,74.0
1968.0,1.0,31.0,1337.0,248.0,295.0,88.0,0.12601626016260162,21.0,613.0,0.6033115709191346,0.0,781.0,88.0
1965.0,3.0,32.0,1349.0,244.0,282.0,90.0,0.12417302798982188,12.0,625.0,0.6032912333123025,0.0,781.0,90.0
1964.0,1.0,35.0,1339.0,249.0,282.0,94.0,0.12678207739307534,21.0,646.0,0.6032766066343986,0.0,781.0,94.0
1964.0,0.0,36.0,1346.0,254.0,289.0,75.0,0.12932790224032586,12.0,658.0,0.6032565837061291,0.0,781.0,75.0
1962.0,2.0,36.0,1353.0,250.0,292.0,67.0,0.127420998980632,20.0,678.0,0.6032467916941533,0.0,781.0,67.0
1959.0,3.0,38.0,1362.0,245.0,290.0,62.0,0.12506380806533945,16.0,694.0,0.6032340725973034,0.0,781.0,62.0
1957.0,2.0,41.0,1364.0,244.0,281.0,68.0,0.12468063362289218,13.0,707.0,0.60322398064981,0.0,781.0,68.0
1955.0,2.0,43.0,1357.0,238.0,286.0,74.0,0.12173913043478261,13.0,720.0,0.600178185399638,0.0,781.0,74.0
1955.0,0.0,45.0,1362.0,233.0,285.0,75.0,0.11918158567774936,12.0,732.0,0.6001656169890892,0.0,781.0,75.0
1955.0,0.0,45.0,1366.0,229.0,282.0,78.0,0.11713554987212277,14.0,746.0,0.6001531616942355,0.0,781.0,78.0
1952.0,3.0,45.0,1387.0,233.0,266.0,66.0,0.11936475409836066,15.0,761.0,0.6001403121097079,0.0,781.0,66.0
1951.0,1.0,48.0,1398.0,236.0,265.0,52.0,0.12096360840594567,14.0,775.0,0.6001306164954062,0.0,781.0,52.0
1951.0,0.0,49.0,1400.0,233.0,251.0,67.0,0.1194259354177345,9.0,784.0,0.6001240464655985,0.0,781.0,67.0
1950.0,1.0,49.0,1407.0,221.0,256.0,66.0,0.11333333333333333,12.0,796.0,0.600109939756146,0.0,781.0,66.0
1948.0,2.0,50.0,1410.0,214.0,261.0,63.0,0.10985626283367557,17.0,813.0,0.6001015302676815,0.0,781.0,63.0
1948.0,0.0,52.0,1405.0,223.0,253.0,67.0,0.11447638603696099,14.0,827.0,0.6000921836899582,0.0,781.0,67.0
1947.0,1.0,52.0,1412.0,217.0,256.0,62.0,0.11145351823317926,19.0,846.0,0.600079882907469,0.0,781.0,62.0
1946.0,1.0,53.0,1421.0,212.0,256.0,57.0,0.10894141829393628,14.0,860.0,0.5980258564659484,0.0,781.0,57.0
