n_alive,new_deaths,cum_deaths,meningitis.n_susceptible,meningitis.n_infected,meningitis.n_recovered,meningitis.n_exposed,meningitis.prevalence,meningitis.new_infections,meningitis.cum_infections,meningitis.rel_sus,meningitis.new_recoveries,meningitis.recovered,meningitis.exposed
2000.0,0.0,0.0,1978.0,2.0,0.0,20.0,0.001,3.0,3.0,0.999993063,0.0,0.0,20.0
2000.0,0.0,0.0,1967.0,6.0,1.0,26.0,0.003,4.0,7.0,0.999989161433,0.0,0.0,26.0
2000.0,0.0,0.0,1948.0,19.0,2.0,31.0,0.0095,13.0,20.0,0.999983808480103,0.0,0.0,31.0
2000.0,0.0,0.0,1918.0,24.0,9.0,49.0,0.012,5.0,25.0,0.999974539703782,0.0,0.0,49.0
2000.0,0.0,0.0,1880.0,35.0,19.0,66.0,0.0175,11.0,36.0,0.9999599038464481,0.0,0.0,66.0
2000.0,0.0,0.0,1830.0,47.0,34.0,89.0,0.0235,14.0,50.0,0.99994143571183,0.0,0.0,89.0
2000.0,0.0,0.0,1774.0,64.0,57.0,105.0,0.032,20.0,70.0,0.9999171877904236,0.0,0.0,105.0
2000.0,0.0,0.0,1707.0,87.0,84.0,122.0,0.0435,16.0,86.0,0.9998901851003097,0.0,0.0,122.0
2000.0,0.0,0.0,1625.0,113.0,114.0,148.0,0.0565,27.0,113.0,0.999857479434407,0.0,0.0,148.0
2000.0,0.0,0.0,1517.0,137.0,149.0,197.0,0.0685,22.0,135.0,0.9998176356194972,0.0,0.0,197.0
2000.0,0.0,0.0,1410.0,174.0,179.0,237.0,0.087,35.0,170.0,0.9997652673989219,0.0,780.0,237.0
2000.0,0.0,0.0,1356.0,228.0,231.0,185.0,0.114,51.0,221.0,0.6097378399885583,0.0,780.0,185.0
1998.0,2.0,0.0,1328.0,252.0,272.0,146.0,0.12612612612612611,26.0,247.0,0.6097104694286614,0.0,780.0,146.0
1998.0,0.0,2.0,1303.0,275.0,301.0,119.0,0.13763763763763764,26.0,273.0,0.6096907777038033,0.0,780.0,119.0
1995.0,3.0,2.0,1289.0,294.0,315.0,97.0,0.14736842105263157,21.0,294.0,0.6096697767044691,0.0,780.0,97.0
1995.0,0.0,5.0,1273.0,309.0,315.0,98.0,0.1548872180451128,14.0,308.0,0.6096534242141289,0.0,780.0,98.0
1989.0,6.0,5.0,1267.0,315.0,306.0,101.0,0.1583710407239819,20.0,328.0,0.6096327593962017,0.0,780.0,101.0
1989.0,0.0,11.0,1269.0,331.0,299.0,90.0,0.16641528406234288,22.0,350.0,0.6096132715616359,0.0,780.0,90.0
1987.0,2.0,11.0,1273.0,341.0,283.0,90.0,0.1716155007549069,11.0,361.0,0.6095959411175812,0.0,780.0,90.0
1985.0,2.0,13.0,1271.0,338.0,264.0,112.0,0.17027707808564232,18.0,379.0,0.6095748026475231,0.0,780.0,112.0
1984.0,1.0,15.0,1265.0,346.0,255.0,118.0,0.1743951612903226,20.0,399.0,0.6066056822688909,0.0,780.0,118.0
1983.0,1.0,16.0,1253.0,341.0,267.0,122.0,0.17196167423096317,15.0,414.0,0.6065847449823752,0.0,780.0,122.0
1983.0,0.0,17.0,1246.0,345.0,292.0,100.0,0.17397881996974282,28.0,442.0,0.6065624983984407,0.0,780.0,100.0
1982.0,1.0,17.0,1242.0,326.0,324.0,90.0,0.16448032290615539,13.0,455.0,0.6065434474997564,0.0,780.0,90.0
1980.0,2.0,18.0,1234.0,310.0,345.0,91.0,0.15656565656565657,13.0,468.0,0.6065275635251552,0.0,780.0,91.0
1977.0,3.0,20.0,1229.0,289.0,372.0,87.0,0.14618108244815378,13.0,481.0,0.6065138194836557,0.0,780.0,87.0
1976.0,1.0,23.0,1237.0,272.0,388.0,79.0,0.13765182186234817,19.0,500.0,0.6065011976271945,0.0,780.0,79.0
1975.0,1.0,24.0,1246.0,257.0,401.0,71.0,0.130126582278481,14.0,514.0,0.6064876908787763,0.0,780.0,71.0
1975.0,0.0,25.0,1256.0,251.0,404.0,64.0,0.1270886075949367,14.0,528.0,0.6064782996457541,0.0,780.0,64.0
