n_alive,new_deaths,cum_deaths,meningitis.n_susceptible,meningitis.n_infected,meningitis.n_recovered,meningitis.n_exposed,meningitis.prevalence,meningitis.new_infections,meningitis.cum_infections,meningitis.rel_sus,meningitis.new_recoveries,meningitis.recovered,meningitis.exposed
2000.0,0.0,0.0,1978.0,2.0,0.0,20.0,0.001,3.0,3.0,0.999993063,0.0,0.0,20.0
2000.0,0.0,0.0,1967.0,6.0,1.0,26.0,0.003,4.0,7.0,0.999989161433,0.0,0.0,26.0
2000.0,0.0,0.0,1948.0,19.0,2.0,31.0,0.0095,13.0,20.0,0.999983808480103,0.0,0.0,31.0
2000.0,0.0,0.0,1918.0,24.0,9.0,49.0,0.012,5.0,25.0,0.999974539703782,0.0,0.0,49.0
2000.0,0.0,0.0,1880.0,35.0,19.0,66.0,0.0175,11.0,36.0,0.9999599038464481,0.0,0.0,66.0
2000.0,0.0,0.0,1830.0,47.0,34.0,89.0,0.0235,14.0,50.0,0.99994143571183,0.0,0.0,89.0
2000.0,0.0,0.0,1774.0,64.0,57.0,105.0,0.032,20.0,70.0,0.9999171877904236,0.0,0.0,105.0
2000.0,0.0,0.0,1707.0,87.0,84.0,122.0,0.0435,16.0,86.0,0.9998901851003097,0.0,0.0,122.0
2000.0,0.0,0.0,1625.0,113.0,114.0,148.0,0.0565,27.0,113.0,0.999857479434407,0.0,0.0,148.0
2000.0,0.0,0.0,1517.0,137.0,149.0,197.0,0.0685,22.0,135.0,0.9998176356194972,0.0,0.0,197.0
2000.0,0.0,0.0,1410.0,174.0,179.0,237.0,0.087,35.0,170.0,0.9997652673989219,0.0,28.0,237.0
2000.0,0.0,0.0,1280.0,228.0,231.0,261.0,0.114,59.0,229.0,0.9857099019923314,0.0,28.0,261.0
1998.0,2.0,0.0,1147.0,268.0,278.0,305.0,0.13413413413413414,36.0,265.0,0.9856451248744005,0.0,28.0,305.0
1998.0,0.0,2.0,1032.0,318.0,339.0,309.0,0.15915915915915915,57.0,322.0,0.9855739937505309,0.0,28.0,309.0
1995.0,3.0,2.0,910.0,373.0,386.0,326.0,0.18696741854636592,54.0,376.0,0.9855094488067762,0.0,28.0,326.0
1995.0,0.0,5.0,802.0,435.0,437.0,321.0,0.21804511278195488,62.0,438.0,0.9854410252675152,0.0,28.0,321.0
1989.0,6.0,5.0,711.0,489.0,493.0,296.0,0.2458521870286576,68.0,506.0,0.9853766860401076,0.0,28.0,296.0
1989.0,0.0,11.0,657.0,534.0,544.0,254.0,0.2684766214177979,45.0,551.0,0.9853168898657466,0.0,28.0,254.0
1987.0,2.0,11.0,603.0,564.0,573.0,247.0,0.28384499245093103,36.0,587.0,0.9852744788569548,0.0,28.0,247.0
1985.0,2.0,13.0,573.0,588.0,598.0,226.0,0.29622166246851384,39.0,626.0,0.9852260080472423,0.0,28.0,226.0
1984.0,1.0,15.0,544.0,610.0,609.0,221.0,0.3074596774193548,37.0,663.0,0.9850797533531447,0.0,28.0,221.0
1983.0,1.0,16.0,546.0,629.0,606.0,202.0,0.3171961674230963,39.0,702.0,0.985038157487324,0.0,28.0,202.0
1983.0,0.0,17.0,550.0,645.0,590.0,198.0,0.32526475037821484,39.0,741.0,0.9850034261606182,0.0,28.0,198.0
1982.0,1.0,17.0,536.0,645.0,610.0,191.0,0.32542885973763874,31.0,772.0,0.9849605202622003,0.0,28.0,191.0
1980.0,2.0,18.0,541.0,651.0,593.0,195.0,0.3287878787878788,35.0,807.0,0.9849254891818557,0.0,28.0,195.0
1977.0,3.0,20.0,544.0,649.0,596.0,188.0,0.32827516439049065,38.0,845.0,0.9848932696028966,0.0,28.0,188.0
1975.0,2.0,23.0,543.0,632.0,617.0,183.0,0.32,35.0,880.0,0.9848598422671505,0.0,28.0,183.0
1973.0,2.0,25.0,539.0,618.0,626.0,190.0,0.31322858590978203,35.0,915.0,0.9848227218227663,0.0,28.0,190.0
1972.0,1.0,27.0,535.0,598.0,654.0,185.0,0.30324543610547666,30.0,945.0,0.984790428661374,0.0,28.0,185.0
1971.0,1.0,28.0,535.0,579.0,652.0,205.0,0.2937595129375951,35.0,980.0,0.9847574276497694,0.0,28.0,205.0
