n_alive,new_deaths,cum_deaths,meningitis.n_susceptible,meningitis.n_infected,meningitis.n_recovered,meningitis.n_exposed,meningitis.prevalence,meningitis.new_infections,meningitis.cum_infections,meningitis.rel_sus,meningitis.new_recoveries,meningitis.recovered,meningitis.exposed
2000.0,0.0,0.0,1978.0,2.0,0.0,20.0,0.001,3.0,3.0,0.999993063,0.0,0.0,20.0
2000.0,0.0,0.0,1967.0,6.0,1.0,26.0,0.003,4.0,7.0,0.999989161433,0.0,0.0,26.0
2000.0,0.0,0.0,1948.0,19.0,2.0,31.0,0.0095,13.0,20.0,0.999983808480103,0.0,0.0,31.0
2000.0,0.0,0.0,1918.0,24.0,9.0,49.0,0.012,5.0,25.0,0.999974539703782,0.0,0.0,49.0
2000.0,0.0,0.0,1880.0,35.0,19.0,66.0,0.0175,11.0,36.0,0.9999599038464481,0.0,0.0,66.0
2000.0,0.0,0.0,1830.0,47.0,34.0,89.0,0.0235,14.0,50.0,0.99994143571183,0.0,0.0,89.0
2000.0,0.0,0.0,1774.0,64.0,57.0,105.0,0.032,20.0,70.0,0.9999171877904236,0.0,0.0,105.0
2000.0,0.0,0.0,1707.0,87.0,84.0,122.0,0.0435,16.0,86.0,0.9998901851003097,0.0,0.0,122.0
2000.0,0.0,0.0,1625.0,113.0,114.0,148.0,0.0565,27.0,113.0,0.999857479434407,0.0,0.0,148.0
2000.0,0.0,0.0,1517.0,137.0,149.0,197.0,0.0685,22.0,135.0,0.9998176356194972,0.0,0.0,197.0
2000.0,0.0,0.0,1410.0,174.0,179.0,237.0,0.087,35.0,170.0,0.9997652673989219,0.0,64.0,237.0
2000.0,0.0,0.0,1284.0,228.0,231.0,257.0,0.114,59.0,229.0,0.9677113884923315,0.0,64.0,257.0
1998.0,2.0,0.0,1154.0,267.0,278.0,299.0,0.13363363363363365,35.0,264.0,0.9676485799959005,0.0,64.0,299.0
1998.0,0.0,2.0,1042.0,316.0,338.0,302.0,0.15815815815815815,56.0,320.0,0.9675789042759374,0.0,64.0,302.0
1995.0,3.0,2.0,925.0,370.0,384.0,316.0,0.18546365914786966,53.0,373.0,0.967515801637454,0.0,64.0,316.0
1995.0,0.0,5.0,823.0,430.0,434.0,308.0,0.21553884711779447,59.0,432.0,0.9674497984227168,0.0,64.0,308.0
1989.0,6.0,5.0,740.0,481.0,487.0,281.0,0.24183006535947713,63.0,495.0,0.9673883532369124,0.0,64.0,281.0
1989.0,0.0,11.0,689.0,516.0,535.0,249.0,0.2594268476621418,37.0,532.0,0.9673324160577803,0.0,64.0,249.0
1987.0,2.0,11.0,633.0,544.0,562.0,248.0,0.27377956718671365,35.0,567.0,0.9672913518132602,0.0,64.0,248.0
1985.0,2.0,13.0,606.0,569.0,587.0,223.0,0.28664987405541564,40.0,607.0,0.9672417381469408,0.0,64.0,223.0
1984.0,1.0,15.0,582.0,589.0,597.0,216.0,0.296875,34.0,641.0,0.966960937261257,0.0,64.0,216.0
1983.0,1.0,16.0,588.0,606.0,595.0,194.0,0.30559757942511345,39.0,680.0,0.9669221820248979,0.0,64.0,194.0
1983.0,0.0,17.0,601.0,623.0,578.0,181.0,0.3141704488149269,38.0,718.0,0.9668892672733237,0.0,64.0,181.0
1982.0,1.0,17.0,587.0,620.0,595.0,180.0,0.31281533804238143,29.0,747.0,0.9668511570668562,0.0,64.0,180.0
1980.0,2.0,18.0,592.0,624.0,578.0,186.0,0.3151515151515151,32.0,779.0,0.9668168845625745,0.0,64.0,186.0
1977.0,3.0,20.0,595.0,616.0,581.0,185.0,0.3115832068791098,34.0,813.0,0.9667859159768262,0.0,64.0,185.0
1975.0,2.0,23.0,595.0,601.0,601.0,178.0,0.30430379746835445,36.0,849.0,0.9667532291310196,0.0,64.0,178.0
1973.0,2.0,25.0,594.0,587.0,610.0,182.0,0.2975164723770907,34.0,883.0,0.9667173417564979,0.0,64.0,182.0
1972.0,1.0,27.0,590.0,570.0,634.0,178.0,0.28904665314401623,31.0,914.0,0.9666867698116718,0.0,64.0,178.0
1971.0,1.0,28.0,590.0,553.0,632.0,196.0,0.28056823947234905,34.0,948.0,0.9666544760370192,0.0,64.0,196.0
