n_alive,new_deaths,cum_deaths,meningitis.n_susceptible,meningitis.n_infected,meningitis.n_recovered,meningitis.n_exposed,meningitis.prevalence,meningitis.new_infections,meningitis.cum_infections,meningitis.rel_sus,meningitis.new_recoveries,meningitis.recovered,meningitis.exposed
2000.0,0.0,0.0,1978.0,2.0,0.0,20.0,0.001,3.0,3.0,0.999993063,0.0,0.0,20.0
2000.0,0.0,0.0,1967.0,6.0,1.0,26.0,0.003,4.0,7.0,0.999989161433,0.0,0.0,26.0
2000.0,0.0,0.0,1948.0,19.0,2.0,31.0,0.0095,13.0,20.0,0.999983808480103,0.0,0.0,31.0
2000.0,0.0,0.0,1918.0,24.0,9.0,49.0,0.012,5.0,25.0,0.999974539703782,0.0,0.0,49.0
2000.0,0.0,0.0,1880.0,35.0,19.0,66.0,0.0175,11.0,36.0,0.9999599038464481,0.0,0.0,66.0
2000.0,0.0,0.0,1830.0,47.0,34.0,89.0,0.0235,14.0,50.0,0.99994143571183,0.0,0.0,89.0
2000.0,0.0,0.0,1774.0,64.0,57.0,105.0,0.032,20.0,70.0,0.9999171877904236,0.0,0.0,105.0
2000.0,0.0,0.0,1707.0,87.0,84.0,122.0,0.0435,16.0,86.0,0.9998901851003097,0.0,0.0,122.0
2000.0,0.0,0.0,1625.0,113.0,114.0,148.0,0.0565,27.0,113.0,0.999857479434407,0.0,0.0,148.0
2000.0,0.0,0.0,1517.0,137.0,149.0,197.0,0.0685,22.0,135.0,0.9998176356194972,0.0,0.0,197.0
2000.0,0.0,0.0,1410.0,174.0,179.0,237.0,0.087,35.0,170.0,0.9997652673989219,0.0,470.0,237.0
2000.0,0.0,0.0,1327.0,228.0,231.0,214.0,0.114,53.0,223.0,0.764727093833457,0.0,470.0,214.0
1998.0,2.0,0.0,1264.0,259.0,273.0,202.0,0.12962962962962962,34.0,257.0,0.764685450488956,0.0,470.0,202.0
1998.0,0.0,2.0,1213.0,290.0,314.0,181.0,0.14514514514514515,32.0,289.0,0.7646486414345554,0.0,470.0,181.0
1995.0,3.0,2.0,1155.0,321.0,339.0,180.0,0.16090225563909774,31.0,320.0,0.7646151366616444,0.0,470.0,180.0
1995.0,0.0,5.0,1096.0,352.0,357.0,190.0,0.17644110275689223,32.0,352.0,0.7645774739316896,0.0,470.0,190.0
1989.0,6.0,5.0,1051.0,373.0,382.0,183.0,0.18753142282554047,37.0,389.0,0.7645361861663044,0.0,470.0,183.0
1989.0,0.0,11.0,1031.0,402.0,401.0,155.0,0.20211161387631976,33.0,422.0,0.7644982429908076,0.0,470.0,155.0
1987.0,2.0,11.0,1021.0,423.0,402.0,141.0,0.2128837443381983,20.0,442.0,0.7644710468038904,0.0,470.0,141.0
1985.0,2.0,13.0,1004.0,423.0,400.0,158.0,0.21309823677581863,23.0,465.0,0.7644440953826555,0.0,470.0,158.0
1984.0,1.0,15.0,975.0,442.0,393.0,174.0,0.22278225806451613,30.0,495.0,0.7626379700275975,0.0,470.0,174.0
1983.0,1.0,16.0,960.0,451.0,398.0,174.0,0.22743318204740293,29.0,524.0,0.7626003109169964,0.0,470.0,174.0
1983.0,0.0,17.0,952.0,458.0,409.0,164.0,0.23096318709026728,31.0,555.0,0.7625684824260481,0.0,470.0,164.0
1982.0,1.0,17.0,944.0,455.0,441.0,142.0,0.22956609485368315,29.0,584.0,0.7625374396358511,0.0,470.0,142.0
1980.0,2.0,18.0,950.0,451.0,456.0,123.0,0.22777777777777777,24.0,608.0,0.7625136656514205,0.0,470.0,123.0
1977.0,3.0,20.0,950.0,432.0,474.0,121.0,0.21851289833080426,17.0,625.0,0.7624960965648399,0.0,470.0,121.0
1976.0,1.0,23.0,951.0,410.0,498.0,117.0,0.2074898785425101,22.0,647.0,0.762474192401046,0.0,470.0,117.0
1974.0,2.0,24.0,952.0,395.0,507.0,120.0,0.2001013171225937,20.0,667.0,0.7624519861303938,0.0,470.0,120.0
1973.0,1.0,26.0,940.0,387.0,516.0,130.0,0.19614799797263052,19.0,686.0,0.7624334744265049,0.0,470.0,130.0
1973.0,0.0,27.0,973.0,388.0,497.0,115.0,0.1966548403446528,27.0,713.0,0.7624071414186311,0.0,470.0,115.0
